DISTNAME,CAMPNAME,CNTYNAME,Longitude,Latitude,STREET,CITY,ZIP,CAMPUS,year,CNT_ALL,CATEGORY,COUNT,PERCENT
BASTROP ISD,BASTROP H S,BASTROP,-95.258125,29.438503000000136,1450 HTS RD,ALVIN,77511,11901001,2007-01-01,2271,BLACK,218,9.6
BASTROP ISD,BASTROP H S,BASTROP,-95.258125,29.438503000000136,1450 HTS RD,ALVIN,77511,11901001,2007-01-01,2271,HISPANIC,788,34.7
BASTROP ISD,GATEWAY SCH,BASTROP,-101.948941,32.527408,2911 COUNTY RD H,LAMESA,79331,11901033,2007-01-01,54,BLACK,17,31.5
BASTROP ISD,GATEWAY SCH,BASTROP,-101.948941,32.527408,2911 COUNTY RD H,LAMESA,79331,11901033,2007-01-01,54,HISPANIC,23,42.6
BASTROP ISD,BASTROP MIDDLE,BASTROP,-98.651112999999896,29.229792,7650 S LOOP 1604 W,SOMERSET,78069,11901041,2007-01-01,601,BLACK,93,15.5
BASTROP ISD,BASTROP MIDDLE,BASTROP,-98.651112999999896,29.229792,7650 S LOOP 1604 W,SOMERSET,78069,11901041,2007-01-01,601,HISPANIC,142,23.6
BASTROP ISD,EMILE ELEMENTARY,BASTROP,-98.573868,29.558065,11431 VANCE JACKSON RD,SAN ANTONIO,78230,11901101,2007-01-01,501,BLACK,85,17
BASTROP ISD,EMILE ELEMENTARY,BASTROP,-98.573868,29.558065,11431 VANCE JACKSON RD,SAN ANTONIO,78230,11901101,2007-01-01,501,HISPANIC,102,20.4
BASTROP ISD,MINA ELEMENTARY,BASTROP,-95.718084,29.940142,19545 CYPRESS N HOUSTON,CYPRESS,77433,11901102,2007-01-01,580,BLACK,102,17.6
BASTROP ISD,MINA ELEMENTARY,BASTROP,-95.718084,29.940142,19545 CYPRESS N HOUSTON,CYPRESS,77433,11901102,2007-01-01,580,HISPANIC,177,30.5
BASTROP ISD,CEDAR CREEK ELEMENTARY,BASTROP,-95.201101,29.930726,14600 WOODSON PARK DR,HOUSTON,77044,11901103,2007-01-01,585,BLACK,38,6.5
BASTROP ISD,CEDAR CREEK ELEMENTARY,BASTROP,-95.201101,29.930726,14600 WOODSON PARK DR,HOUSTON,77044,11901103,2007-01-01,585,HISPANIC,350,59.8
BASTROP ISD,BASTROP INTERMEDIATE,BASTROP,-101.580325,35.645076,538 EAGLE BLVD,FRITCH,79036,11901104,2007-01-01,622,BLACK,83,13.3
BASTROP ISD,BASTROP INTERMEDIATE,BASTROP,-101.580325,35.645076,538 EAGLE BLVD,FRITCH,79036,11901104,2007-01-01,622,HISPANIC,173,27.8
BASTROP ISD,CEDAR CREEK MIDDLE SCHOOL,BASTROP,-97.185926,33.106541,191 U S HWY 377,ARGYLE,76226,11901106,2007-01-01,577,BLACK,37,6.4
BASTROP ISD,CEDAR CREEK MIDDLE SCHOOL,BASTROP,-97.185926,33.106541,191 U S HWY 377,ARGYLE,76226,11901106,2007-01-01,577,HISPANIC,303,52.5
BASTROP ISD,RED ROCK ELEMENTARY,BASTROP,-97.191169,32.860944,9100 MID CITIES BLVD,NORTH RICHLAND HILLS,76180,11901107,2007-01-01,532,BLACK,11,2.1
BASTROP ISD,RED ROCK ELEMENTARY,BASTROP,-97.191169,32.860944,9100 MID CITIES BLVD,NORTH RICHLAND HILLS,76180,11901107,2007-01-01,532,HISPANIC,263,49.4
BASTROP ISD,CEDAR CREEK INTERMEDIATE SCHOOL,BASTROP,-95.715095,29.852616,19636 PLANTATION MYRTLES DR,KATY,77449,11901108,2007-01-01,603,BLACK,34,5.6
BASTROP ISD,CEDAR CREEK INTERMEDIATE SCHOOL,BASTROP,-95.715095,29.852616,19636 PLANTATION MYRTLES DR,KATY,77449,11901108,2007-01-01,603,HISPANIC,320,53.1
